tag_name,name
World War II,Red Orchestra: Ostfront 41-45
Action,Red Orchestra: Ostfront 41-45
FPS,Red Orchestra: Ostfront 41-45
FPS,Killing Floor
Zombies,Killing Floor
Co-op,Killing Floor
Action,SiN Episodes: Emergence
FPS,SiN Episodes: Emergence
Cyberpunk,SiN Episodes: Emergence
Strategy,Darwinia
Indie,Darwinia
RTS,Darwinia
Hacking,Uplink
Indie,Uplink
Strategy,Uplink
Strategy,DEFCON
Indie,DEFCON
Multiplayer,DEFCON
Indie,Multiwinia
RTS,Multiwinia
Strategy,Multiwinia
Strategy,Dangerous Waters
Simulation,Dangerous Waters
Naval,Dangerous Waters
Strategy,Space Empires IV Deluxe
4X,Space Empires IV Deluxe
Sci-fi,Space Empires IV Deluxe
Strategy,Disciples II: Rise of the Elves 
Turn-Based Strategy,Disciples II: Rise of the Elves 
Fantasy,Disciples II: Rise of the Elves 
Turn-Based Strategy,Disciples II: Gallean's Return
Strategy,Disciples II: Gallean's Return
Classic,Disciples II: Gallean's Return
Simulation,Iron Warriors: T - 72 Tank Command 
Strategy,Iron Warriors: T - 72 Tank Command 
Tanks,Iron Warriors: T - 72 Tank Command 
Strategy,Space Empires V
4X,Space Empires V
Space,Space Empires V
RPG,Arx Fatalis
First-Person,Arx Fatalis
Classic,Arx Fatalis
Animation & Modeling,Source Filmmaker
Video Production,Source Filmmaker
Free to Play,Source Filmmaker
Strategy,Earth 2160
RTS,Earth 2160
Sci-fi,Earth 2160
FPS,Quake III Arena
Action,Quake III Arena
Classic,Quake III Arena
FPS,Quake IV
Action,Quake IV
Shooter,Quake IV
FPS,Wolfenstein 3D
Classic,Wolfenstein 3D
Action,Wolfenstein 3D
Classic,Ultimate Doom
FPS,Ultimate Doom
Action,Ultimate Doom
FPS,Final DOOM
Action,Final DOOM
Classic,Final DOOM
Classic,DOOM II
FPS,DOOM II
Action,DOOM II
FPS,QUAKE
Classic,QUAKE
Action,QUAKE
FPS,QUAKE II
Action,QUAKE II
Classic,QUAKE II
Action,QUAKE II Mission Pack: The Reckoning
FPS,QUAKE II Mission Pack: The Reckoning
Classic,QUAKE II Mission Pack: The Reckoning
Action,QUAKE II Mission Pack: Ground Zero
FPS,QUAKE II Mission Pack: Ground Zero
Shooter,QUAKE II Mission Pack: Ground Zero
Action,QUAKE III: Team Arena
FPS,QUAKE III: Team Arena
Competitive,QUAKE III: Team Arena
Action,HeXen: Beyond Heretic
FPS,HeXen: Beyond Heretic
Classic,HeXen: Beyond Heretic
Action,HeXen: Deathkings of the Dark Citadel
FPS,HeXen: Deathkings of the Dark Citadel
Classic,HeXen: Deathkings of the Dark Citadel
Classic,Heretic: Shadow of the Serpent Riders
Action,Heretic: Shadow of the Serpent Riders
FPS,Heretic: Shadow of the Serpent Riders
Multiplayer,The Ship: Murder Party
Indie,The Ship: Murder Party
Action,The Ship: Murder Party
Action,Shadowgrounds
Sci-fi,Shadowgrounds
Top-Down Shooter,Shadowgrounds
Action,Alpha Prime
FPS,Alpha Prime
Sci-fi,Alpha Prime
Strategy,ThreadSpace: Hyperbol
Action,ThreadSpace: Hyperbol
Indie,ThreadSpace: Hyperbol
Action,ARMA: Combat Operations
Simulation,ARMA: Combat Operations
Shooter,ARMA: Combat Operations
Space,X3: Terran Conflict
Simulation,X3: Terran Conflict
Sci-fi,X3: Terran Conflict
Simulation,X: Beyond the Frontier
Space,X: Beyond the Frontier
Strategy,X: Beyond the Frontier
Simulation,X: Tension
Strategy,X: Tension
Space,X: Tension
Space,X Rebirth
Simulation,X Rebirth
Sci-fi,X Rebirth
Strategy,688(I) Hunter/Killer
Simulation,688(I) Hunter/Killer
Naval,688(I) Hunter/Killer
Strategy,Fleet Command
Simulation,Fleet Command
Naval,Fleet Command
Strategy,Sub Command
Simulation,Sub Command
Naval,Sub Command
Racing,Xpand Rally
Multiplayer,Xpand Rally
Racing,Xpand Rally Xtreme
Offroad,Xpand Rally Xtreme
Simulation,Xpand Rally Xtreme
Strategy,Men of War: Red Tide
World War II,Men of War: Red Tide
RTS,Men of War: Red Tide
Strategy,Genesis Rising
Space,Genesis Rising
Sci-fi,Genesis Rising
Puzzle,Safecracker: The Ultimate Puzzle Adventure
Adventure,Safecracker: The Ultimate Puzzle Adventure
Casual,Safecracker: The Ultimate Puzzle Adventure
Action,Painkiller Overdose
FPS,Painkiller Overdose
Shooter,Painkiller Overdose
Casual,Zuma Deluxe
Match 3,Zuma Deluxe
Puzzle,Zuma Deluxe
Casual,Heavy Weapon Deluxe
Arcade,Heavy Weapon Deluxe
Action,Heavy Weapon Deluxe
Casual,Peggle Deluxe
Puzzle,Peggle Deluxe
Arcade,Peggle Deluxe
Casual,Peggle Extreme
Puzzle,Peggle Extreme
Free to Play,Peggle Extreme
Casual,Venice Deluxe
Casual,Amazing Adventures Around the World
Hidden Object,Amazing Adventures Around the World
Puzzle,Amazing Adventures Around the World
Casual,Bejeweled Twist
Strategy,Bejeweled Twist
Match 3,Bejeweled Twist
Tower Defense,Plants vs. Zombies GOTY Edition
Zombies,Plants vs. Zombies GOTY Edition
Strategy,Plants vs. Zombies GOTY Edition
Casual,Escape Rosecliff Island
Hidden Object,Escape Rosecliff Island
Puzzle,Escape Rosecliff Island
Casual,Mystery P.I. - Lost in Los Angeles
Hidden Object,Mystery P.I. - Lost in Los Angeles
Casual,Zuma's Revenge!
Action,Zuma's Revenge!
Match 3,Zuma's Revenge!
Action,Sniper Elite
Sniper,Sniper Elite
Stealth,Sniper Elite
Action,Judge Dredd: Dredd vs. Death
FPS,Judge Dredd: Dredd vs. Death
First-Person,Judge Dredd: Dredd vs. Death
Base-Building,Evil Genius
Strategy,Evil Genius
Villain Protagonist,Evil Genius
FPS,Aliens versus Predator Classic 2000
Action,Aliens versus Predator Classic 2000
Classic,Aliens versus Predator Classic 2000
Action,Advent Rising
Sci-fi,Advent Rising
Story Rich,Advent Rising
Action,BloodRayne
Vampire,BloodRayne
Female Protagonist,BloodRayne
Action,BloodRayne 2
Vampire,BloodRayne 2
Female Protagonist,BloodRayne 2
Platformer,Psychonauts
Comedy,Psychonauts
Adventure,Psychonauts
Pirates,Sid Meier's Pirates!
Open World,Sid Meier's Pirates!
RPG,Sid Meier's Pirates!
Strategy,Shattered Union
Turn-Based Strategy,Shattered Union
Strategy,CivCity: Rome
City Builder,CivCity: Rome
Simulation,CivCity: Rome
Sandbox,Garry's Mod
Multiplayer,Garry's Mod
Funny,Garry's Mod
Card Game,Poker Superstars II
Racing,RACE - The WTCC Game
Simulation,RACE - The WTCC Game
Racing,RACE: Caterham Expansion
Simulation,RACE: Caterham Expansion
Action,RoboBlitz
Indie,RoboBlitz
Puzzle,RoboBlitz
Simulation,City Life 2008
Strategy,City Life 2008
City Builder,City Life 2008
Strategy,Full Spectrum Warrior
Action,Full Spectrum Warrior
Tactical,Full Spectrum Warrior
Strategy,Full Spectrum Warrior: Ten Hammers
Action,Full Spectrum Warrior: Ten Hammers
Tactical,Full Spectrum Warrior: Ten Hammers
Strategy,Company of Heroes - Legacy Edition
RTS,Company of Heroes - Legacy Edition
World War II,Company of Heroes - Legacy Edition
Horror,Condemned: Criminal Origins
Action,Condemned: Criminal Origins
Atmospheric,Condemned: Criminal Origins
Strategy,Heroes of Annihilated Empires
RTS,Heroes of Annihilated Empires
RPG,Heroes of Annihilated Empires
Strategy,Cossacks: Back to War
RTS,Cossacks: Back to War
Classic,Cossacks: Back to War
Strategy,Cossacks II: Battle for Europe
RTS,Cossacks II: Battle for Europe
Historical,Cossacks II: Battle for Europe
Casual,Zen of Sudoku
Indie,Zen of Sudoku
Puzzle,Zen of Sudoku
Multiplayer,Natural Selection 2
Strategy,Natural Selection 2
FPS,Natural Selection 2
Action,Shank
Indie,Shank
Beat 'em up,Shank
Racing,FlatOut
Destruction,FlatOut
Driving,FlatOut
Strategy,Making History: The Calm & the Storm
Action,Making History: The Calm & the Storm
Grand Strategy,Making History: The Calm & the Storm
Racing,Ducati World Championship
Simulation,Ducati World Championship
Adventure,Dreamfall: The Longest Journey
Female Protagonist,Dreamfall: The Longest Journey
Story Rich,Dreamfall: The Longest Journey
Adventure,The Longest Journey
Point & Click,The Longest Journey
Female Protagonist,The Longest Journey
Free to Play,Bloodline Champions
Action,Bloodline Champions
MOBA,Bloodline Champions
Strategy,Joint Task Force
Action,Joint Task Force
RTS,Joint Task Force
Strategy,Nexus - The Jupiter Incident
Space,Nexus - The Jupiter Incident
Sci-fi,Nexus - The Jupiter Incident
Strategy,Commandos: Behind Enemy Lines
Stealth,Commandos: Behind Enemy Lines
Action,Commandos: Behind Enemy Lines
Action,Commandos: Beyond the Call of Duty
Strategy,Commandos: Beyond the Call of Duty
Tactical,Commandos: Beyond the Call of Duty
Strategy,Commandos 2: Men of Courage
Tactical,Commandos 2: Men of Courage
Stealth,Commandos 2: Men of Courage
Strategy,Commandos 3: Destination Berlin
Action,Commandos 3: Destination Berlin
Tactical,Commandos 3: Destination Berlin
Stealth,Hitman 2: Silent Assassin
Action,Hitman 2: Silent Assassin
Third Person,Hitman 2: Silent Assassin
Stealth,Hitman: Blood Money
Action,Hitman: Blood Money
Third Person,Hitman: Blood Money
Action,Battlestations: Midway
World War II,Battlestations: Midway
Naval,Battlestations: Midway
Action,Just Cause
Open World,Just Cause
Shooter,Just Cause
Stealth,Hitman: Codename 47
Action,Hitman: Codename 47
Classic,Hitman: Codename 47
Cyberpunk,Deus Ex: Game of the Year Edition
RPG,Deus Ex: Game of the Year Edition
Stealth,Deus Ex: Game of the Year Edition
Cyberpunk,Deus Ex: Invisible War
Action,Deus Ex: Invisible War
FPS,Deus Ex: Invisible War
Stealth,Thief: Deadly Shadows
Atmospheric,Thief: Deadly Shadows
Action,Thief: Deadly Shadows
Adventure,Tomb Raider: Legend
Action,Tomb Raider: Legend
Female Protagonist,Tomb Raider: Legend
Action,Project: Snowblind
FPS,Project: Snowblind
Cyberpunk,Project: Snowblind
Action,Rogue Trooper
Third-Person Shooter,Rogue Trooper
Sci-fi,Rogue Trooper
Racing,Trackmania United Forever Star Edition
Multiplayer,Trackmania United Forever Star Edition
Level Editor,Trackmania United Forever Star Edition
Adventure,"Runaway, A Road Adventure"
Point & Click,"Runaway, A Road Adventure"
Mystery,"Runaway, A Road Adventure"
Adventure,"Runaway, The Dream of The Turtle"
Point & Click,"Runaway, The Dream of The Turtle"
Mystery,"Runaway, The Dream of The Turtle"
RPG,Loki
Hack and Slash,Loki
Action,Loki
Action,X-Blades
Hack and Slash,X-Blades
Female Protagonist,X-Blades
RPG,Two Worlds II HD
Open World,Two Worlds II HD
Fantasy,Two Worlds II HD
Strategy,Sid Meier's Railroads!
Trains,Sid Meier's Railroads!
Management,Sid Meier's Railroads!
Strategy,Railroad Tycoon 3
Management,Railroad Tycoon 3
Trains,Railroad Tycoon 3
Strategy,Railroad Tycoon II Platinum
Management,Railroad Tycoon II Platinum
Trains,Railroad Tycoon II Platinum
Strategy,X-COM: Terror From the Deep
Turn-Based,X-COM: Terror From the Deep
Sci-fi,X-COM: Terror From the Deep
Strategy,X-COM: Apocalypse
Turn-Based,X-COM: Apocalypse
Tactical,X-COM: Apocalypse
Strategy,X-COM: Interceptor
Sci-fi,X-COM: Interceptor
Space,X-COM: Interceptor
Strategy,X-COM: UFO Defense
Classic,X-COM: UFO Defense
Turn-Based Strategy,X-COM: UFO Defense
Strategy,X-COM: Enforcer
Action,X-COM: Enforcer
Shooter,X-COM: Enforcer
Action,NecroVision
FPS,NecroVision
World War I,NecroVision
Action,Conflict: Denied Ops
FPS,Conflict: Denied Ops
Singleplayer,Conflict: Denied Ops
Adventure,Tomb Raider: Underworld
Action,Tomb Raider: Underworld
Female Protagonist,Tomb Raider: Underworld
World War II,Battlestations Pacific
Strategy,Battlestations Pacific
Action,Battlestations Pacific
Open World,Just Cause 2
Action,Just Cause 2
Sandbox,Just Cause 2
Adventure,Bone: Out From Boneville
Point & Click,Bone: Out From Boneville
Adventure,Bone: The Great Cow Race
Point & Click,Bone: The Great Cow Race
Adventure,Strong Bad's Cool Game for Attractive People: Season 1
Point & Click,Strong Bad's Cool Game for Attractive People: Season 1
Comedy,Strong Bad's Cool Game for Attractive People: Season 1
Arcade,Geometry Wars: Retro Evolved
Twin Stick Shooter,Geometry Wars: Retro Evolved
Casual,Geometry Wars: Retro Evolved
Space,EVE Online
Massively Multiplayer,EVE Online
Sci-fi,EVE Online
Racing,RACE 07
Simulation,RACE 07
Driving,RACE 07
Racing,GTR 2 FIA GT Racing Game
Simulation,GTR 2 FIA GT Racing Game
Sports,GTR 2 FIA GT Racing Game
FPS,BioShock Infinite
Story Rich,BioShock Infinite
Action,BioShock Infinite
RPG,Freedom Force vs. the Third Reich
Strategy,Freedom Force vs. the Third Reich
Superhero,Freedom Force vs. the Third Reich
Indie,Axel & Pixel
Point & Click,Axel & Pixel
Action,Spear of Destiny
FPS,Spear of Destiny
Classic,Spear of Destiny
FPS,Return to Castle Wolfenstein
Action,Return to Castle Wolfenstein
Classic,Return to Castle Wolfenstein
Action,QUAKE Mission Pack 2: Dissolution of Eternity
FPS,QUAKE Mission Pack 2: Dissolution of Eternity
Shooter,QUAKE Mission Pack 2: Dissolution of Eternity
Action,QUAKE Mission Pack 1: Scourge of Armagon
FPS,QUAKE Mission Pack 1: Scourge of Armagon
Shooter,QUAKE Mission Pack 1: Scourge of Armagon
Horror,DOOM 3
FPS,DOOM 3
Action,DOOM 3
Action,HeXen II
FPS,HeXen II
Classic,HeXen II
Action,Master Levels for Doom II
FPS,Master Levels for Doom II
Classic,Master Levels for Doom II
Platformer,Commander Keen
Classic,Commander Keen
Action,Commander Keen
Strategy,Company of Heroes: Opposing Fronts
RTS,Company of Heroes: Opposing Fronts
Action,Company of Heroes: Opposing Fronts
Strategy,Supreme Commander
RTS,Supreme Commander
Sci-fi,Supreme Commander
Open World,Saints Row 2
Action,Saints Row 2
Character Customization,Saints Row 2
Indie,Gish
Platformer,Gish
Physics,Gish
Action,Desperados 2: Cooper's Revenge
Western,Desperados 2: Cooper's Revenge
Strategy,Desperados 2: Cooper's Revenge
Action,Act of War: High Treason
Strategy,Act of War: High Treason
RTS,Act of War: High Treason
Stealth,Death to Spies
Action,Death to Spies
Adventure,Death to Spies
Strategy,Codename: Panzers - Cold War
Simulation,Codename: Panzers - Cold War
RTS,Codename: Panzers - Cold War
Free to Play,Champions Online
Superhero,Champions Online
Massively Multiplayer,Champions Online
Free to Play,Star Trek Online
Sci-fi,Star Trek Online
Space,Star Trek Online
Anime,Blade Kitten
Platformer,Blade Kitten
Female Protagonist,Blade Kitten
Action,Star Raiders
Space,Star Raiders
Adventure,Dead Mountaineer's Hotel
Point & Click,Dead Mountaineer's Hotel
Adventure,A Stroke of Fate: Operation Valkyrie
Point & Click,A Stroke of Fate: Operation Valkyrie
Simulation,PT Boats: Knights of the Sea
Naval,PT Boats: Knights of the Sea
RPG,Disciples III: Reincarnation
Turn-Based Strategy,Disciples III: Reincarnation
Strategy,Disciples III: Reincarnation
Racing,TrackMania Nations Forever
Free to Play,TrackMania Nations Forever
Multiplayer,TrackMania Nations Forever
Adventure,Dracula Origin
Point & Click,Dracula Origin
Vampire,Dracula Origin
Adventure,Sherlock Holmes: The Mystery of the Mummy
Point & Click,Sherlock Holmes: The Mystery of the Mummy
Detective,Sherlock Holmes: The Mystery of the Mummy
Adventure,Sherlock Holmes: The Awakened - Remastered Edition
Point & Click,Sherlock Holmes: The Awakened - Remastered Edition
Lovecraftian,Sherlock Holmes: The Awakened - Remastered Edition
Adventure,Sherlock Holmes: The Silver Earring
Point & Click,Sherlock Holmes: The Silver Earring
Detective,Sherlock Holmes: The Silver Earring
Adventure,Sherlock Holmes versus Jack the Ripper
Point & Click,Sherlock Holmes versus Jack the Ripper
Detective,Sherlock Holmes versus Jack the Ripper
Action,Shadowgrounds Survivor
Sci-fi,Shadowgrounds Survivor
Isometric,Shadowgrounds Survivor
Indie,Gumboy Tournament
Casual,Gumboy Tournament
Racing,Gumboy Tournament
Action,Space Trader: Merchant Marine
Space,Space Trader: Merchant Marine
FPS,Space Trader: Merchant Marine
Strategy,Pacific Storm
Simulation,Pacific Storm
World War II,Pacific Storm
Simulation,Pacific Storm Allies
Strategy,Pacific Storm Allies
World War II,Pacific Storm Allies
Action,Penguins Arena: Sedna's World
Casual,Penguins Arena: Sedna's World
Indie,Penguins Arena: Sedna's World
Puzzle,Obulis
Casual,Obulis
Indie,Obulis
Action,Larva Mortus
Indie,Larva Mortus
Top-Down,Larva Mortus
Indie,Chains
Puzzle,Chains
Physics,Chains
Strategy,Soldiers: Heroes of World War II
World War II,Soldiers: Heroes of World War II
RTS,Soldiers: Heroes of World War II
Strategy,Maelstrom: The Battle for Earth Begins
RTS,Maelstrom: The Battle for Earth Begins
Simulation,Hospital Tycoon
Management,Hospital Tycoon
Singleplayer,Hospital Tycoon
Open World,Grand Theft Auto III
Action,Grand Theft Auto III
Classic,Grand Theft Auto III
Open World,Grand Theft Auto: Vice City
Action,Grand Theft Auto: Vice City
1980s,Grand Theft Auto: Vice City
Open World,Grand Theft Auto: San Andreas
Action,Grand Theft Auto: San Andreas
Multiplayer,Grand Theft Auto: San Andreas
Gore,Manhunt
Violent,Manhunt
Stealth,Manhunt
Noir,Max Payne
Action,Max Payne
Classic,Max Payne
Noir,Max Payne 2: The Fall of Max Payne
Action,Max Payne 2: The Fall of Max Payne
Third-Person Shooter,Max Payne 2: The Fall of Max Payne
Action,Grand Theft Auto
Classic,Grand Theft Auto
Open World,Grand Theft Auto
Action,Grand Theft Auto 2
Classic,Grand Theft Auto 2
Open World,Grand Theft Auto 2
Open World,Bully: Scholarship Edition
Action,Bully: Scholarship Edition
Adventure,Bully: Scholarship Edition
Open World,Grand Theft Auto IV
Action,Grand Theft Auto IV
Bowling,Grand Theft Auto IV
Open World,Grand Theft Auto: Episodes from Liberty City
Action,Grand Theft Auto: Episodes from Liberty City
Multiplayer,Grand Theft Auto: Episodes from Liberty City
Adventure,Culpa Innata
RPG,Culpa Innata
Sci-fi,Culpa Innata
RPG,Sacred Gold
Action,Sacred Gold
Hack and Slash,Sacred Gold
Action,Darkstar One
Space,Darkstar One
Sci-fi,Darkstar One
Adventure,Jack Keane
Point & Click,Jack Keane
Comedy,Jack Keane
Racing,FlatOut: Ultimate Carnage
Destruction,FlatOut: Ultimate Carnage
Multiplayer,FlatOut: Ultimate Carnage
Action,Exodus from the Earth 
FPS,Exodus from the Earth 
Shooter,Exodus from the Earth 
Strategy,Perimeter 2: New Earth
RTS,Perimeter 2: New Earth
Casual,SlamIt Pinball Big Score
Pinball,SlamIt Pinball Big Score
Adventure,Ankh 2: Heart of Osiris 
Point & Click,Ankh 2: Heart of Osiris 
Comedy,Ankh 2: Heart of Osiris 
Adventure,Ankh 3: Battle of the Gods
Point & Click,Ankh 3: Battle of the Gods
Strategy,BC Kings
RTS,BC Kings
Strategy,Port Royale 2
Trading,Port Royale 2
Pirates,Port Royale 2
Puzzle,PuzzleQuest: Challenge of the Warlords
Match 3,PuzzleQuest: Challenge of the Warlords
Casual,PuzzleQuest: Challenge of the Warlords
Simulation,18 Wheels of Steel: American Long Haul
Racing,18 Wheels of Steel: American Long Haul
Driving,18 Wheels of Steel: American Long Haul
Casual,Mahjongg Investigations: Under Suspicion
Puzzle,Mahjongg Investigations: Under Suspicion
Simulation,Ride! Carnival Tycoon
Management,Ride! Carnival Tycoon
Racing,Sprint Cars Road to Knoxville
Racing,Midnight Outlaw: 6 Hours to SunUp
RPG,Drakensang
Fantasy,Drakensang
Party-Based RPG,Drakensang
Simulation,Mission Runway
Casual,Mission Runway
Action,Damnation
Adventure,Damnation
Steampunk,Damnation
RPG,Overlord II
Villain Protagonist,Overlord II
Fantasy,Overlord II
Action,Operation Flashpoint: Dragon Rising
FPS,Operation Flashpoint: Dragon Rising
Tactical,Operation Flashpoint: Dragon Rising
Indie,Ninja Reflex: Steamworks Edition
Casual,Ninja Reflex: Steamworks Edition
Ninja,Ninja Reflex: Steamworks Edition
Action,America's Army 3
Free to Play,America's Army 3
FPS,America's Army 3
Action,Unreal 2: The Awakening
FPS,Unreal 2: The Awakening
Sci-fi,Unreal 2: The Awakening
FPS,Unreal Tournament 2004: Editor's Choice Edition
Arena Shooter,Unreal Tournament 2004: Editor's Choice Edition
Action,Unreal Tournament 2004: Editor's Choice Edition
Classic,Unreal Tournament: Game of the Year Edition
FPS,Unreal Tournament: Game of the Year Edition
Action,Unreal Tournament: Game of the Year Edition
Classic,Unreal Gold
FPS,Unreal Gold
Action,Unreal Gold
Strategy,Heroes of Might & Magic V
Turn-Based Strategy,Heroes of Might & Magic V
Fantasy,Heroes of Might & Magic V
Strategy,Heroes of Might & Magic V: Tribes of the East
Turn-Based Strategy,Heroes of Might & Magic V: Tribes of the East
Turn-Based,Heroes of Might & Magic V: Tribes of the East
Strategy,Heroes of Might & Magic V: Hammers of Fate
Turn-Based Strategy,Heroes of Might & Magic V: Hammers of Fate
Turn-Based,Heroes of Might & Magic V: Hammers of Fate
Strategy,Harvest: Massive Encounter
Indie,Harvest: Massive Encounter
Tower Defense,Harvest: Massive Encounter
Indie,The Wonderful End of the World
Casual,The Wonderful End of the World
Action,The Wonderful End of the World
Action,AaAaAA!!! - A Reckless Disregard for Gravity
Indie,AaAaAA!!! - A Reckless Disregard for Gravity
First-Person,AaAaAA!!! - A Reckless Disregard for Gravity
Indie,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome
Action,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome
First-Person,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome
Adventure,Oddworld: Munch's Oddysee
Action,Oddworld: Munch's Oddysee
Strategy,Oddworld: Munch's Oddysee
Adventure,Oddworld: Stranger's Wrath HD
Action,Oddworld: Stranger's Wrath HD
Singleplayer,Oddworld: Stranger's Wrath HD
Casual,7 Wonders II
Puzzle,7 Wonders II
Match 3,7 Wonders II
Casual,Luxor Amun Rising
Casual,Luxor 2
Casual,Luxor 3
Match 3,Luxor 3
Puzzle,Luxor 3
Casual,Little Farm
Agriculture,Little Farm
Puzzle,Little Farm
Casual,Luxor
Match 3,Luxor
Casual,Discovery! A Seek and Find Adventure
Hidden Object,Discovery! A Seek and Find Adventure
Casual,Samantha Swift and the Hidden Roses of Athena
Hidden Object,Samantha Swift and the Hidden Roses of Athena
Adventure,Samantha Swift and the Hidden Roses of Athena
Casual,7 Wonders: Treasures of Seven
Match 3,7 Wonders: Treasures of Seven
Puzzle,7 Wonders: Treasures of Seven
Casual,Luxor: Quest for the Afterlife 
Puzzle,Luxor: Quest for the Afterlife 
Match 3,Luxor: Quest for the Afterlife 
Casual,Virtual Villagers: A New Home
Simulation,Virtual Villagers: A New Home
Casual,Virtual Villagers: The Lost Children
Simulation,Virtual Villagers: The Lost Children
Casual,Plant Tycoon
Simulation,Plant Tycoon
Management,Plant Tycoon
Casual,Fish Tycoon
Simulation,Fish Tycoon
Management,Fish Tycoon
Casual,Virtual Villagers - The Secret City
Simulation,Virtual Villagers - The Secret City
Simulation,Virtual Families
Casual,Virtual Families
Horror,F.E.A.R. 2: Project Origin
FPS,F.E.A.R. 2: Project Origin
Action,F.E.A.R. 2: Project Origin
Indie,Chaos Theory
Casual,Chaos Theory
Puzzle,Chaos Theory
Racing,Trials 2: Second Edition
Indie,Trials 2: Second Edition
Sports,Trials 2: Second Edition
Racing,Monster Trucks Nitro 
Indie,Monster Trucks Nitro 
Sports,Monster Trucks Nitro 
Adventure,Insecticide Part 1
Action,Insecticide Part 1
Female Protagonist,Insecticide Part 1
Stealth,Velvet Assassin
Action,Velvet Assassin
Female Protagonist,Velvet Assassin
Strategy,Sid Meier's Civilization IV: Colonization
Turn-Based,Sid Meier's Civilization IV: Colonization
Turn-Based Strategy,Sid Meier's Civilization IV: Colonization
Free to Play,Tribes: Ascend
FPS,Tribes: Ascend
Action,Tribes: Ascend
City Builder,Children of the Nile: Enhanced Edition
Historical,Children of the Nile: Enhanced Edition
Management,Children of the Nile: Enhanced Edition
City Builder,Children of the Nile: Alexandria
Simulation,Children of the Nile: Alexandria
Management,Children of the Nile: Alexandria
Strategy,Hinterland
RPG,Hinterland
Fantasy,Hinterland
Strategy,Mosby's Confederacy
Historical,Mosby's Confederacy
RPG,Dragon Age: Origins
Fantasy,Dragon Age: Origins
Story Rich,Dragon Age: Origins
RPG,Mass Effect
Sci-fi,Mass Effect
Story Rich,Mass Effect
Strategy,Command & Conquer: Red Alert 3
RTS,Command & Conquer: Red Alert 3
Base-Building,Command & Conquer: Red Alert 3
Free to Play,Zombie Panic! Source
Zombies,Zombie Panic! Source
Multiplayer,Zombie Panic! Source
Free to Play,"Pirates, Vikings, and Knights II"
Multiplayer,"Pirates, Vikings, and Knights II"
Action,"Pirates, Vikings, and Knights II"
Strategy,Nuclear Dawn
FPS,Nuclear Dawn
Action,Nuclear Dawn
Free to Play,Empires Mod
Strategy,Empires Mod
Action,Empires Mod
RPG,"Precipice of Darkness, Episode One"
Adventure,"Precipice of Darkness, Episode One"
Comedy,"Precipice of Darkness, Episode One"
RPG,"Precipice of Darkness, Episode Two"
Adventure,"Precipice of Darkness, Episode Two"
Comedy,"Precipice of Darkness, Episode Two"
